4309,4319,5354,,,,,0.920801,-25.605680,313.052,69.21,8.80,0.0,9.440,4.529,G2/G3V,0.592,84.041631,20.661315,-41.475547,-0.00000597,0.00003169,0.00000369,0.24106507597104773,-0.4469034226934738,0.0000003355395483125,0.000000042663603,,,,1,4309,,1.344002263082163,,,
4976,4986,,,,,,1.065521,-36.263139,326200,15.92,-13.39,0.0,10.210,-9.790,G2,0.912,77514.052278,22201.653473,-59149.457163,-0.00581605,0.00636205,-0.00523383,0.278952765345457,-0.6329111800198213,0.00000007718233794444445,-0.000000064916551,,,,1,4976,,717794.2912713615,,,
5384,5395,6910,,,,,1.150672,-42.401817,280.241,31.80,-1.53,0.0,7.860,3.190,G2/G3IV,0.651,60.582553,18.823096,-57.931802,-0.00000434,0.00001252,-0.00000047,0.30124513899406613,-0.7400513209044287,0.00000015417075041666668,-0.000000007417649,,,,1,5384,,4.613175745603793,,,
5605,5617,7282,,,,,1.201748,-51.753939,326200,4.16,-12.90,0.0,8.840,-11.160,G2/G3,1.418,58865.434683,19156.339744,-78535.948757,-0.00529427,0.00039785,-0.00387120,0.3146169954721797,-0.903276631233435,0.00000002016824911111111,-0.000000062540964,,,,1,5605,,2535128.6304979073,,8.909,8.759
5783,5796,7515,,,,,1.239395,-50.251486,259.301,-14.96,-34.23,0.0,9.430,4.928,G2/G3V,0.634,48.175987,16.204491,-61.117555,-0.00000777,-0.00000870,-0.00000843,0.3244727243788922,-0.8770538880775676,-0.00000007252812661111112,-0.000000165951722,,,,1,5783,,0.9306791831626532,,,
5967,5980,7700,,,,,1.281977,6.811699,222.814,84.84,19.23,0.0,8.980,4.808,G2,0.712,64.039685,22.338159,8.101550,-0.00000997,0.00002628,0.00000632,0.3356208990143576,0.11888657575961249,0.0000004113159265833333,0.00000009322967,,,Psc,1,5967,,1.0394413751488005,UV,9.606,8.916
7710,7725,,,,,,1.657010,-38.165742,1359.17,0.41,25.53,0.0,10.120,2.021,G2,0.720,297.250416,137.696352,-257.474355,0.00002857,0.00001415,0.00004054,0.4338042463926908,-0.666117850986845,0.0000000019877360902777778,0.000000123772932,,,,1,7710,,13.539418114050742,,10.165,10.025
7806,7821,10318,,,,,1.676563,-16.292773,217.033,65.75,-114.53,0.0,8.090,3.975,G2/G3V,0.645,57.808191,27.138979,-18.665711,-0.00001839,0.00001479,-0.00003546,0.43892328519370594,-0.284362528499695,0.00000031876499496527783,-0.000000555257108,,,,1,7806,,2.238721138568339,,,
7919,7934,10491,,,,,1.699869,-17.179027,262.641,-37.61,-84.30,0.0,8.930,4.401,G2/G3V,0.640,69.430919,33.113917,-23.780866,-0.00000245,-0.00001743,-0.00003144,0.445024637538779,-0.29983057910690497,-0.00000018233842525694443,-0.000000408697932,,,,1,7919,,1.5121678487917671,,,
7946,7961,10519,,,,,1.704137,-17.888807,155.407,548.81,11.38,-4.4,7.450,4.060,G2/G3V,0.617,40.900581,19.563045,-14.634123,-0.00005782,0.00011284,0.00000388,0.4461421341771522,-0.312218585246785,0.0000026607059602569443,0.000000055171796,,,,1,7946,,2.0701413487910423,,,
8255,8270,,,,,,1.775645,-29.595470,310.963,-94.12,-236.73,0.0,10.130,5.234,G2,0.600,74.095525,37.160328,-47.080381,-0.00002880,-0.00006310,-0.00009513,0.4648628253169338,-0.5165383973699688,-0.0000004563066361388889,-0.000001147699425,,,,1,8255,,0.7021016602403143,,10.186,10.086
8423,8439,11098,,,,,1.813538,-21.006790,448.077,67.39,-82.74,0.0,9.390,3.701,G2/G3V,0.552,114.049548,58.621279,-49.241549,-0.00003808,0.00003088,-0.00005143,0.4747832657644691,-0.3666376439298413,0.0000003267159393263889,-0.000000401134839,,,,1,8423,,2.881376434839699,,,
8596,8613,,,,,,1.851917,-29.708239,2219.05,8.23,-25.38,0.0,10.070,0.907,G2,1.190,522.763246,275.374202,-337.131676,-0.00004935,0.00000468,-0.00007270,0.4848308071264517,-0.51850658564998,0.00000003990016590972223,-0.000000123045712,,,,1,8596,,37.77461093882191,,,
10229,10252,,,,,,2.198164,-4.364290,501.846,59.13,-27.47,0.0,9.400,3.465,G2,0.650,128.692287,83.485850,-11.707326,-0.00002531,0.00003615,-0.00002043,0.5754780883653815,-0.0761712313102825,0.0000002866703293125,-0.000000133178318,,,,1,10229,,3.5809643710263597,,,
10500,10524,,,,,,2.260503,-3.404099,305.145,28.22,14.82,0.0,9.550,4.695,G2,0.610,77.499972,52.092644,-5.554519,-0.00000681,0.00001084,0.00000671,0.5917983721261807,-0.059412734317863744,0.00000013681442065277776,0.000000071849387,,,,1,10500,,1.1534532578210916,,,
10542,10566,14072,,,,,2.267038,-25.524720,782.254,5.60,-29.23,0.0,8.980,2.081,G2/G3V,1.060,179.394283,121.028338,-103.333468,-0.00001578,-0.00000279,-0.00003066,0.5935090955587035,-0.4454904099715825,0.00000002714956611111111,-0.000000141711038,,,,1,10542,,12.811500562783971,,,
11681,11709,15749,,,,,2.518323,-28.513592,1045.51,43.34,59.18,0.0,9.640,2.111,G2/G3V,0.580,222.611678,172.518956,-153.002307,-0.00000655,0.00008012,0.00008080,0.65929551853468,-0.49765606551356,0.0000002101182491527778,0.000000286912736,,,,1,11681,,12.462351604865134,,,
11898,11928,16065,,,,,2.565476,-32.197308,238.625,93.61,69.70,0.0,8.110,3.789,G2/G3V,0.621,48.458025,38.520647,-38.978537,-0.00001035,0.00003418,0.00002092,0.6716399450482556,-0.5619490382425688,0.00000045383408636805554,0.000000337915135,,,,1,11898,,2.6570516703550697,,,
12130,12162,16331,,,,,2.612250,-19.294486,1136.59,23.31,-0.80,0.0,10.170,2.459,G2/G3V,0.599,254.908423,207.777925,-115.130178,-0.00002522,0.00003024,-0.00000128,0.6838854988381031,-0.33675231593695376,0.00000011301006893749998,-0.000000003878509,,,,1,12130,,9.0448214904759,,,
12224,12256,16516,,,,,2.630222,-37.809638,428.646,77.75,63.69,0.0,9.350,3.757,G2/G3V,0.630,80.161887,65.970885,-80.557129,-0.00001227,0.00005405,0.00003205,0.6885905022480705,-0.6599026701939612,0.00000037694263663194446,0.000000308777833,,,,1,12224,,2.7365286541924663,,,
12251,12283,16469,,,,,2.636879,-13.997785,479.706,40.86,-29.41,0.0,10.240,4.403,G2/G3V:,0.624,110.020270,90.865387,-35.571228,-0.00002246,0.00001923,-0.00002034,0.6903333563301114,-0.24430744060740126,0.000000198094869875,-0.000000142583703,,,,1,12251,,1.5093848966549512,,,
12449,12482,16750,,,,,2.677291,-17.371849,970.833,11.24,-7.06,0.0,10.180,2.812,G2/G3V,0.635,217.081471,183.184291,-88.860674,-0.00001278,0.00001043,-0.00000972,0.7009130418142548,-0.3031959644936438,0.00000005449305769444445,-0.000000034227845,,,,1,12449,,6.534313996495984,,,
